Breed,Breed Group,Height,Weight,Life Expectancy
Affenpinscher,TOY GROUP »,9-11.5 inches,7-10 pounds,12-15 years
Affenpinscher,TOY GROUP »,9-11.5 inches,7-10 pounds,12-15 years
Afghan Hound,HOUND GROUP »,25-27 inches,50-60 pounds,12-18 years
Afghan Hound,HOUND GROUP »,25-27 inches,50-60 pounds,12-18 years
Airedale Terrier,TERRIER GROUP »,23 inches,50-70 pounds,11-14 years
Airedale Terrier,TERRIER GROUP »,23 inches,50-70 pounds,11-14 years
Akita,WORKING GROUP »,26-28 inches (male),100-130 pounds (male),10-14 years
Akita,WORKING GROUP »,26-28 inches (male),100-130 pounds (male),10-14 years
Alaskan Klee Kai,FOUNDATION STOCK SERVICE »,12 - 17 inches,6 - 25 lbs,13-16 years
Alaskan Klee Kai,FOUNDATION STOCK SERVICE »,12 - 17 inches,6 - 25 lbs,13-16 years
Alaskan Malamute,WORKING GROUP »,25 inches (male),85 pounds (male),10-14 years
Alaskan Malamute,WORKING GROUP »,25 inches (male),85 pounds (male),10-14 years
American Bulldog,FOUNDATION STOCK SERVICE »,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years
American Bulldog,FOUNDATION STOCK SERVICE »,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years
American English Coonhound,HOUND GROUP »,24-26 inches (male),45-65 pounds,11-12 years
American English Coonhound,HOUND GROUP »,24-26 inches (male),45-65 pounds,11-12 years
American Eskimo Dog,NON-SPORTING GROUP »,9-12 inches (toy),6-10 pounds (toy),13-15 years
American Eskimo Dog,NON-SPORTING GROUP »,9-12 inches (toy),6-10 pounds (toy),13-15 years
American Foxhound,HOUND GROUP »,22-25 inches (male),65-70 pounds (male),11-13 years
American Foxhound,HOUND GROUP »,22-25 inches (male),65-70 pounds (male),11-13 years
American Hairless Terrier,TERRIER GROUP »,12-16 inches,12-28 pounds,14-16 years
American Hairless Terrier,TERRIER GROUP »,12-16 inches,12-28 pounds,14-16 years
American Leopard Hound,FOUNDATION STOCK SERVICE »,22 - 27 males,45 - 75 lbs males,12-15 years
American Leopard Hound,FOUNDATION STOCK SERVICE »,22 - 27 males,45 - 75 lbs males,12-15 years
Affenpinscher,TOY GROUP »,9-11.5 inches,7-10 pounds,12-15 years
American Staffordshire Terrier,TERRIER GROUP »,18-19 inches (male),55-70 pounds (male),12-16 years
American Water Spaniel,SPORTING GROUP »,15-18 inches,30-45 pounds (male),10-14 years
American Water Spaniel,SPORTING GROUP »,15-18 inches,30-45 pounds (male),10-14 years
Anatolian Shepherd Dog,WORKING GROUP »,29 inches (male),110-150 pounds (male),11-13 years
